Team,Won,Lost,Tied,Pct.,Years,Total Games,Conference
Syracuse,724,547,49,0.567,130,1320,ACC
Army,697,526,51,0.567,130,1274,Independent
San Diego State,565,427,32,0.567,97,1024,Mountain West
Troy,542,413,28,0.566,99,983,Sun Belt
Arizona,617,473,33,0.564,116,1123,Pac-12
North Carolina 7,698,548,54,0.558,129,1300,ACC
Navy,722,570,57,0.556,139,1349,The American
Toledo,549,436,24,0.556,99,1009,MAC
Western Michigan,576,459,24,0.555,114,1059,MAC
Texas Tech,571,458,32,0.553,95,1061,Big 12
California,676,544,51,0.552,124,1271,Pac-12
UCF,263,214,1,0.551,41,478,The American
Tulsa,625,510,27,0.549,120,1162,The American
Hawaii,565,463,25,0.548,103,1053,Mountain West
Air Force,401,329,13,0.548,64,743,Mountain West
Ole Miss 8,641,532,35,0.545,125,1208,SEC
Missouri,683,569,52,0.544,129,1304,SEC
Houston,445,374,15,0.543,74,834,The American
TCU,656,554,57,0.54,123,1267,Big 12
Northern Illinois,592,501,51,0.54,118,1144,MAC
Iowa,659,561,39,0.539,131,1259,Big Ten
Nevada,558,494,33,0.529,113,1085,Mountain West
Louisville,522,473,17,0.524,101,1012,ACC
Texas State,515,469,25,0.523,105,1009,Sun Belt
Marshall,599,551,47,0.52,120,1197,C-USA
Virginia,666,615,48,0.519,130,1329,ACC
Maryland,652,605,43,0.518,127,1300,Big Ten
Oklahoma State,600,557,48,0.518,118,1205,Big 12
Liberty,260,242,4,0.518,47,506,Independent
Purdue,618,575,48,0.517,132,1241,Big Ten
Cincinnati,625,592,51,0.513,132,1268,The American
Baylor,607,577,44,0.512,118,1228,Big 12
South Carolina,613,586,44,0.511,126,1243,SEC
Ball State,454,433,32,0.511,95,919,MAC
NC State,604,583,55,0.508,128,1242,ACC
East Carolina,440,428,12,0.507,84,880,The American
Illinois,612,600,50,0.505,130,1262,Big Ten
Ohio,578,567,48,0.505,124,1193,MAC
North Texas,520,514,33,0.503,104,1067,C-USA
Utah State,549,545,31,0.502,122,1125,Mountain West
Kentucky,624,626,44,0.499,129,1294,SEC
Washington State,552,564,45,0.495,124,1161,Pac-12
Arkansas State9,481,492,37,0.495,105,1010,Sun Belt
Rutgers,652,667,42,0.494,150,1361,Big Ten
Duke,516,529,31,0.494,107,1076,ACC
Vanderbilt,609,629,50,0.492,130,1288,SEC
Memphis,502,519,33,0.492,104,1054,The American
Mississippi State,561,585,39,0.49,120,1185,SEC
Massachusetts,575,604,50,0.488,137,1229,Independent
San Jose State,491,520,38,0.486,102,1049,Mountain West
Louisiana,530,564,34,0.485,118,1128,Sun Belt
Akron,523,558,36,0.484,119,1117,MAC
Wyoming,540,579,28,0.483,123,1147,Mountain West
SMU,500,544,54,0.48,103,1098,The American
Kansas,588,649,58,0.476,130,1295,Big 12
Colorado State,527,588,33,0.473,121,1148,Mountain West
Oregon State,537,610,50,0.47,123,1197,Pac-12
UConn,511,582,38,0.469,121,1131,Independent
UAB,146,166,2,0.468,27,314,C-USA
Kansas State,539,651,42,0.455,124,1232,Big 12
Temple,484,584,52,0.455,121,1120,The American
Iowa State,539,655,46,0.453,128,1240,Big 12
Tulane,534,651,38,0.452,126,1223,The American
South Alabama,57,69,0,0.452,11,126,Sun Belt
Northwestern,547,675,44,0.449,132,1266,Big Ten
New Mexico,488,608,31,0.447,121,1127,Mountain West
Florida Atlantic,103,129,0,0.444,19,232,C-USA
Eastern Michigan,466,602,47,0.437,128,1115,MAC
Rice,475,626,32,0.433,108,1133,C-USA
Louisiana-Monroe,315,428,8,0.425,69,751,Sun Belt
UTSA,45,61,0,0.425,9,106,C-USA
Buffalo,388,533,28,0.424,106,949,MAC
Indiana,492,684,44,0.421,132,1220,Big Ten
Wake Forest,465,664,33,0.414,118,1162,ACC
New Mexico State,435,649,30,0.404,123,1114,Independent
UNLV10,236,358,4,0.398,52,598,Mountain West
UTEP,392,607,30,0.396,102,1029,C-USA
Kent State,350,569,28,0.384,97,947,MAC
FIU,79,138,0,0.364,18,217,C-USA
Charlotte,32,58,0,0.356,9,90,C-USA
Georgia State,36,83,0,0.303,10,119,Sun Belt
